"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
22044986.162109 4753571.007794 2284759.093371 1756984.248069 1281715.971041 254642.452054 430343.412217 579936.381202 1
53124571.537312 9806440.198824 2471048.977019 1298831.892268 1058585.200135 787423.219595 160287.843043 649336.521397 1
15411206.83126 23631813.023772 5097758.49758 1404807.665252 782601.756673 650407.600739 495702.789652 521381.821685 1
10623909.645854 6855560.154683 12302835.032307 2913245.709235 852216.733717 485589.38066 413492.204165 659904.71588 1
4748073.972827 4725992.460944 3571682.206602 7049198.684586 1773332.40371 531401.924455 310238.435632 700468.126657 1
12422715.416587 2112159.486623 2462642.606118 2047786.748456 4294512.652603 1107099.232073 339916.994705 660771.69813 1
14831252.587298 5526188.751386 1100595.583378 1411846.52518 1247456.04436 2680782.461777 708088.583661 653975.761305 1
23288286.374889 6597498.947071 2872628.846875 625624.238362 850571.136274 766286.616781 1687255.756389 874671.771992 1
29195515.04245 10359487.8696 3428716.207789 1631572.434458 376503.82663 521674.189354 481541.038876 1640773.731712 1
11817361.016798 12987190.853074 5380994.525673 1943806.232642 979520.732001 230111.571354 326679.415068 1359220.456484 1
10809861.423025 5256866.264865 6761466.568714 3075546.692571 1179415.328025 607937.338707 146331.222051 1096741.432029 1
14721227.477185 4808704.234884 2738161.679804 3871062.941307 1870190.806461 734325.261342 387823.2797 811731.309517 1
15301802.337915 6548659.934635 2505099.906819 1568474.50831 2355548.340287 1165573.824879 468916.692107 782792.019256 1
6212371.389338 6806943.482808 3412755.48551 1436791.481311 955995.182607 1471581.175649 746079.907767 818441.584456 1
8238979.972033 2763541.555052 3546278.152209 1955271.965009 874509.237265 596028.946822 940046.264726 1020060.443332 1
9206532.593988 3665056.014503 1439107.171162 2028574.899755 1187647.794151 543608.147673 379614.038192 1274161.405369 1
10466641.80354 4095416.881854 1905485.821445 818522.971586 1223044.304377 730346.586155 342515.831899 1065662.338649 1
15159509.690776 4655928.743587 2127189.840443 1080115.401066 491319.438839 747315.034081 457239.655907 901514.726598 1
7591451.214836 6743462.274225 2417423.3657 1204201.581935 647230.855593 299465.769054 466702.701503 867062.301185 1
10185846.487401 3376977.666461 3507468.222919 1377040.197492 727452.417219 399152.269141 189225.617834 861068.566258 1
10212550.467022 4531069.466894 1756579.320917 1998431.5712 832116.880858 448823.660693 252326.643546 679293.010196 1
5870851.217301 4542943.96207 2356577.245634 1000359.696881 1206861.280998 512937.793147 283471.541911 601555.563698 1
2916396.946256 2611608.143676 2365555.890485 1347687.880668 607425.024964 749842.783186 326535.885816 575774.607582 1
8626955.030337 1297337.159863 1359584.183358 1351747.245342 817478.224514 376837.325774 476633.765103 585941.412837 1
7716713.741598 3837625.3119 675132.548859 775883.173077 818535.687126 505892.319728 238940.166627 687818.479913 1
17819951.796018 3432723.330579 1997958.163547 385871.089259 470762.178963 508007.810504 321694.927313 602562.199985 1
7921394.795743 7927050.463917 1786419.629689 1140267.181686 233681.014896 291366.804708 322153.053664 598848.359929 1
17712245.883212 3523760.508479 4124824.54207 1019117.219692 690166.737466 144518.38904 184626.105522 596265.191679 1
16676918.439854 7879250.398412 1837353.31338 2370278.687391 622696.96025 432716.325466 92837.988806 513000.051764 1
19076875.569524 7418708.260468 4109957.335513 1057239.937575 1450828.779809 391411.38824 278684.842402 399284.771013 1
47899455.735088 8486347.734786 3871052.934143 2367786.634746 648146.198657 914033.781131 252657.90933 446910.398163 1
8568371.960018 21307661.753831 4416533.163928 2209560.259574 1434159.048584 401252.821106 579776.653688 453330.303448 1
28260012.120245 3811577.789386 11093495.654177 2524444.320608 1340761.644187 890202.435125 255189.567191 670151.196207 1
7592574.919976 12571389.552223 1987220.940076 6372408.559587 1541742.144988 840042.636332 571467.959325 607282.643039 1
9309319.193148 3377486.76925 6541178.712991 1133475.576578 3856149.223891 953170.483163 532124.83166 762053.719495 1
5357617.184348 4141161.104482 1757181.171843 3729459.579949 685540.465787 2382211.774083 603323.825443 836535.723024 1
25140185.233218 2383272.485581 2153015.276861 999433.384665 2248518.654107 421573.819735 1500977.770218 926396.359089 1
29915027.715148 11183410.800402 1240551.419113 1229724.781306 605868.587702 1393726.645578 267736.817567 1571638.520839 1
11062401.347632 13307393.858107 5817211.61235 706828.194537 743105.150278 373814.636117 881066.77459 1189993.697032 1
4731702.446357 4921004.431586 6923649.209833 3317206.077416 427585.462457 459202.815816 236681.290486 1338938.760682 1
13042103.365434 2104869.633765 2563089.045942 3963198.901415 2016665.310376 266131.628033 292840.714604 1028265.257908 1
8295141.855876 5801706.649763 1096435.433222 1467722.080981 2410614.033824 1256107.648976 169841.133269 862303.38422 1
12243160.662152 3690042.359777 3021570.0725 627447.155517 891976.159996 1499619.273646 800633.115128 673168.293449 1
27508006.099018 5446260.722071 1920198.874459 1724040.788109 379857.902252 551814.292242 950548.032059 952967.080359 1
4325385.991779 12236652.262942 2832866.430496 1093955.54908 1041670.769573 234321.930307 348769.156837 1227726.743269 1
9962764.37278 1924107.142521 6366631.399048 1615479.70643 661807.889413 643751.670551 148372.762846 1020966.88983 1
5211912.346503 4431870.984478 1001999.279273 3642226.02604 981369.800943 411459.372599 410078.258417 762425.873438 1
5659316.435461 2318485.501009 2307966.427737 573243.987542 2212674.295327 610177.01787 262121.999348 763162.737825 1
6470482.619462 2517507.791129 1207222.592253 1319750.023306 348030.118336 1374499.525551 388361.621366 667239.37397 1
3039722.630569 2878337.92078 1310135.969986 688986.403157 799239.34277 215407.645475 871650.201065 683848.478347 1
6553227.318645 1352185.946548 1496672.865959 745531.689097 415659.582275 491946.863678 135848.801635 1000575.721469 1
4228661.055466 2915110.470114 702516.441178 849154.755408 448037.23691 254416.689977 308517.180166 729518.128193 1
16182505.853198 1881079.79742 1516689.765211 400601.895779 513682.183986 276863.904402 161083.546557 671782.226325 1
9452426.557855 7198622.493441 978478.335132 864187.345118 242086.758936 316953.175391 175033.146007 538646.91737 1
2795186.128784 4204801.509453 3742805.161848 556633.334565 521150.952792 148923.697563 199775.045146 459984.219329 1
14336415.097325 1243421.046019 2189854.176672 2141735.54524 338255.972531 324167.01073 94912.288831 429769.220604 1
4963000.103365 6377481.035636 647801.025002 1254662.639935 1303614.616126 210899.503155 207086.722707 342924.340055 1
5029932.121864 2207766.894387 3322895.964634 371286.70919 764035.327458 813342.839827 134819.694641 359154.58171 1
5862370.820625 2237507.7965 1147980.397784 1890831.713821 223984.949758 470250.335476 512911.784947 318470.66825 1
6995267.142025 2607796.857158 1162728.61451 651816.88661 1137449.257232 137293.980345 295335.142953 532320.677734 1
23886902.928593 3111753.92626 1355350.681931 660535.320253 392373.531239 697898.302155 86310.764272 531575.064021 1
