"Sim" "Mselectivity" "Maturity" "Weight" "Fselectivity" "UnfishedNAA"
33 0.49 1 0.21 1 900103.722088287
34 1 0 0.018 0.0011 12542074.3976634
34 0.8 0.02 0.04 0.15 5579442.96296882
34 0.67 0.63 0.073 0.53 2918555.91410268
34 0.59 0.98 0.11 0.69 1696197.43711112
34 0.55 1 0.14 1 1051785.23473759
34 0.52 1 0.16 1 673672.591073548
34 0.5 1 0.18 1 442103.590810522
34 0.49 1 0.21 1 900103.722088287
35 1 0 0.018 0.0011 12542074.3976634
35 0.8 0.02 0.04 0.15 5579442.96296882
35 0.67 0.63 0.073 0.53 2918555.91410268
35 0.59 0.98 0.11 0.69 1696197.43711112
35 0.55 1 0.14 1 1051785.23473759
35 0.52 1 0.16 1 673672.591073548
35 0.5 1 0.18 1 442103.590810522
35 0.49 1 0.21 1 900103.722088287
36 1 0 0.018 0.0011 12542074.3976634
36 0.8 0.02 0.04 0.15 5579442.96296882
36 0.67 0.63 0.073 0.53 2918555.91410268
36 0.59 0.98 0.11 0.69 1696197.43711112
36 0.55 1 0.14 1 1051785.23473759
36 0.52 1 0.16 1 673672.591073548
36 0.5 1 0.18 1 442103.590810522
36 0.49 1 0.21 1 900103.722088287
37 1 0 0.018 0.0011 12542074.3976634
37 0.8 0.02 0.04 0.15 5579442.96296882
37 0.67 0.63 0.073 0.53 2918555.91410268
37 0.59 0.98 0.11 0.69 1696197.43711112
37 0.55 1 0.14 1 1051785.23473759
37 0.52 1 0.16 1 673672.591073548
37 0.5 1 0.18 1 442103.590810522
37 0.49 1 0.21 1 900103.722088287
38 1 0 0.018 0.0011 12542074.3976634
38 0.8 0.02 0.04 0.15 5579442.96296882
38 0.67 0.63 0.073 0.53 2918555.91410268
38 0.59 0.98 0.11 0.69 1696197.43711112
38 0.55 1 0.14 1 1051785.23473759
38 0.52 1 0.16 1 673672.591073548
38 0.5 1 0.18 1 442103.590810522
38 0.49 1 0.21 1 900103.722088287
39 1 0 0.018 0.0011 12542074.3976634
39 0.8 0.02 0.04 0.15 5579442.96296882
39 0.67 0.63 0.073 0.53 2918555.91410268
39 0.59 0.98 0.11 0.69 1696197.43711112
39 0.55 1 0.14 1 1051785.23473759
39 0.52 1 0.16 1 673672.591073548
39 0.5 1 0.18 1 442103.590810522
39 0.49 1 0.21 1 900103.722088287
40 1 0 0.018 0.0011 12542074.3976634
40 0.8 0.02 0.04 0.15 5579442.96296882
40 0.67 0.63 0.073 0.53 2918555.91410268
