"TotalBio" "Sim"
1239860.11223745 4
1235133.14034396 4
1245207.37239387 4
1573296.18635791 4
1481253.2266036 4
1381338.18624999 4
1386287.0005939 4
1214307.60537129 4
1153159.53642886 4
1150426.45874596 4
1082602.41878417 4
955368.985191428 4
971050.480039845 4
911440.277550868 4
1046555.7254167 4
1034647.32572708 4
948116.787924677 4
1258310.48452581 4
1228531.02376025 4
1208310.6928421 4
1305292.95347925 4
1472166.48004856 4
1536905.58380678 4
1464533.62839238 4
1378855.06641189 4
1344560.17891093 4
1146227.02878378 4
1072652.13917818 4
1031631.23984118 4
1049882.8443974 4
938997.992391213 4
971727.365470611 4
1192374.6276049 4
1127202.49556186 4
1054490.37813884 4
965594.325313533 4
1141328.34121261 4
1048788.49150711 4
1265412.63018572 4
1151542.48401875 4
1087217.80689584 4
936463.490531183 4
1012572.52849957 4
1009729.40691753 4
1045124.17277218 4
1152449.19972971 4
1054976.01184528 4
1075533.80650696 4
1030368.22428382 4
960526.266075798 4
895335.852511355 4
872199.023700345 4
970114.427329901 4
875804.312052623 4
1034671.31004656 4
1408293.43053029 4
1403316.1497447 4
1535463.17815506 4
1430093.3360201 4
1400710.49946066 4
1591747.84920652 4
1810374.45137188 4
1762466.87188211 4
1845702.71193164 4
1904764.14808839 4
1705464.94977456 4
1493434.4675206 4
1420263.84813761 4
1406491.10894584 4
1307202.78060879 4
1382472.6250928 4
1353455.74570889 4
1201429.09093766 4
1255865.55046762 4
1091760.62673933 4
964786.359643363 4
692035.870723111 5
713234.109228181 5
664808.812346995 5
601348.08246129 5
939219.120602536 5
978386.791913228 5
980959.140419441 5
1076331.20972825 5
1290451.12003251 5
1217997.48165746 5
1178093.4732107 5
1950466.96552112 5
2121012.64524416 5
1996711.65361197 5
1884749.87295555 5
1716354.58498171 5
1514280.40682278 5
1483604.0890351 5
1720647.719259 5
2246371.01381973 5
2161534.15419804 5
2118068.66132009 5
1862818.73922848 5
1647253.54616058 5
1419960.51265566 5
1667452.79749563 5
1611979.22727856 5
1509757.54160645 5
1342347.69682053 5
1212380.74516673 5
1115408.09024981 5
1022573.68097797 5
958161.734037326 5
1186462.48963528 5
1259450.52367321 5
1246975.25217538 5
1502834.40296944 5
1521370.1360218 5
1529655.49130697 5
1404032.34129858 5
1358950.2949165 5
1488186.64252779 5
1451805.69498167 5
1256191.11041557 5
1186607.82950383 5
1157450.716738 5
1154629.13615317 5
1096199.58109275 5
1644709.86593483 5
1752793.75982649 5
1803568.24712881 5
1928471.16950588 5
1842553.94218742 5
1740195.10599327 5
1555362.86920885 5
1363381.47514975 5
1186271.74717583 5
1121476.17603845 5
1225819.04181917 5
1347575.26887945 5
1432369.1290165 5
1345690.66476047 5
1276559.35739062 5
1165071.83441493 5
1221759.33712553 5
1124296.53336997 5
1131391.64493374 5
1122192.50995023 5
1099220.71014285 5
1040633.10377926 5
1191319.23276992 5
1365040.66363299 5
1251175.87014936 5
1299895.71727611 5
1830744.83603643 5
2028362.82814833 5
2102212.2506427 5
2062088.71267631 5
1860299.75238708 5
1719117.98924576 5
1527079.95058566 5
1447821.25812217 5
1313239.2609213 5
1183456.36723396 5
1381314.54474156 5
1993835.953846 5
1944053.0948364 5
1959832.01872389 5
1904638.43404222 5
1989105.52516059 5
2427568.9718975 5
2472849.12171719 5
2366605.94396301 5
2105295.03097242 5
1904077.55149553 5
1630940.77964592 5
1931311.32208127 5
1762022.94974465 5
1576394.25016913 5
2036048.05974284 5
2541928.95471611 5
2413613.93377402 5
2539359.87247109 5
2502224.36862627 5
2219084.12082807 5
2359894.62516617 5
2143707.76973946 5
1784149.1968394 5
1465540.3074502 5
1198329.87542242 5
1158601.76908677 5
1131899.21711616 5
1001463.8625773 5
983844.024584435 5
962218.856838933 5
941451.7672803 5
933455.069818265 5
883280.801064748 5
868351.587766774 5
762785.235848304 5
824776.887176856 5
784086.483047638 5
